INDEX ORBITAL_ID_2 ORBITAL_ID_1 Tau K_1
722 1 1 22 17
723 1 1 22 18
724 1 1 22 19
725 1 1 22 20
726 1 1 22 21
727 1 1 22 22
728 1 1 22 23
729 1 1 22 24
730 1 1 22 25
731 1 1 22 26
732 1 1 22 27
733 1 1 22 28
734 1 1 22 29
735 1 1 22 30
736 1 1 22 31
737 1 1 23 0
738 1 1 23 1
739 1 1 23 2
740 1 1 23 3
741 1 1 23 4
742 1 1 23 5
743 1 1 23 6
744 1 1 23 7
745 1 1 23 8
746 1 1 23 9
747 1 1 23 10
748 1 1 23 11
749 1 1 23 12
750 1 1 23 13
751 1 1 23 14
752 1 1 23 15
753 1 1 23 16
754 1 1 23 17
755 1 1 23 18
756 1 1 23 19
757 1 1 23 20
758 1 1 23 21
759 1 1 23 22
760 1 1 23 23
761 1 1 23 24
762 1 1 23 25
763 1 1 23 26
764 1 1 23 27
765 1 1 23 28
766 1 1 23 29
767 1 1 23 30
768 1 1 23 31
769 1 1 24 0
770 1 1 24 1
771 1 1 24 2
772 1 1 24 3
773 1 1 24 4
774 1 1 24 5
775 1 1 24 6
776 1 1 24 7
777 1 1 24 8
778 1 1 24 9
779 1 1 24 10
780 1 1 24 11
781 1 1 24 12
782 1 1 24 13
783 1 1 24 14
784 1 1 24 15
785 1 1 24 16
786 1 1 24 17
787 1 1 24 18
788 1 1 24 19
789 1 1 24 20
790 1 1 24 21
791 1 1 24 22
792 1 1 24 23
793 1 1 24 24
794 1 1 24 25
795 1 1 24 26
796 1 1 24 27
797 1 1 24 28
798 1 1 24 29
799 1 1 24 30
800 1 1 24 31
801 1 1 25 0
802 1 1 25 1
803 1 1 25 2
804 1 1 25 3
805 1 1 25 4
806 1 1 25 5
807 1 1 25 6
808 1 1 25 7
809 1 1 25 8
810 1 1 25 9
811 1 1 25 10
812 1 1 25 11
813 1 1 25 12
814 1 1 25 13
815 1 1 25 14
816 1 1 25 15
817 1 1 25 16
818 1 1 25 17
819 1 1 25 18
820 1 1 25 19
821 1 1 25 20
822 1 1 25 21
823 1 1 25 22
824 1 1 25 23
825 1 1 25 24
826 1 1 25 25
827 1 1 25 26
828 1 1 25 27
829 1 1 25 28
830 1 1 25 29
831 1 1 25 30
832 1 1 25 31
833 1 1 26 0
834 1 1 26 1
835 1 1 26 2
836 1 1 26 3
837 1 1 26 4
838 1 1 26 5
